SECTION Comments
Name "PrunedDPPlusPlus_irregular.txt"
Creator "graph_v_of_v_idealID_save_for_GSTP"
END

input_graph_size |V|= 1000 |E|= 6661
input_graph Edge 2 62 78.2002428068
input_graph Edge 2 63 37.2002428240
input_graph Edge 2 64 49.2002428240
input_graph Edge 2 65 32.2002428240
input_graph Edge 2 66 52.2002428240
input_graph Edge 2 67 52.2002428240
input_graph Edge 2 68 85.2002239511
input_graph Edge 2 69 58.2002428240
input_graph Edge 2 70 35.2002428240
input_graph Edge 2 71 73.2002428239
input_graph Edge 2 72 34.2002428240
input_graph Edge 2 73 86.2001915222
input_graph Edge 2 74 95.0702444879
input_graph Edge 2 75 71.2002428240
input_graph Edge 2 76 29.2002428240
input_graph Edge 2 77 13.2002437491
input_graph Edge 2 78 1.3508033658
input_graph Edge 2 79 43.2002428240
input_graph Edge 2 80 70.2002428240
input_graph Edge 2 81 86.2001915222
input_graph Edge 2 82 6.2012572930
input_graph Edge 2 83 47.2002428240
input_graph Edge 2 84 55.2002428240
input_graph Edge 2 85 2.2556309520
input_graph Edge 2 86 15.2002429492
input_graph Edge 2 87 61.2002428240
input_graph Edge 2 88 27.2002428240
input_graph Edge 2 89 60.2002428240
input_graph Edge 2 90 82.2002418844
input_graph Edge 2 91 36.2002428240
input_graph Edge 2 92 70.2002428240
input_graph Edge 2 93 75.2002428232
input_graph Edge 2 94 16.2002428701
input_graph Edge 2 95 47.2002428240
input_graph Edge 2 96 53.2002428240
input_graph Edge 2 97 28.2002428240
input_graph Edge 2 98 46.2002428240
input_graph Edge 2 99 66.2002428240
input_graph Edge 2 100 40.2002428240
input_graph Edge 2 101 87.2001033712
input_graph Edge 2 102 83.2002402699
input_graph Edge 2 103 10.2002614047
input_graph Edge 2 104 56.2002428240
input_graph Edge 2 105 51.2002428240
input_graph Edge 2 106 7.2006160263
input_graph Edge 2 107 44.2002428240
input_graph Edge 2 108 12.2002453386
input_graph Edge 2 109 58.2002428240
input_graph Edge 2 110 53.2002428240
input_graph Edge 2 111 18.2002428303
input_graph Edge 2 112 65.2002428240
input_graph Edge 2 113 70.2002428240
input_graph Edge 2 114 43.2002428240
input_graph Edge 2 115 18.2002428303
input_graph Edge 2 116 94.1285888806
input_graph Edge 2 117 56.2002428240
input_graph Edge 2 118 87.2001033712
input_graph Edge 2 119 56.2002428240
input_graph Edge 2 120 23.2002428241
input_graph Edge 2 121 87.2001033712
input_graph Edge 2 122 47.2002428240
input_graph Edge 2 123 70.2002428240
input_graph Edge 2 124 58.2002428240
input_graph Edge 2 125 43.2002428240
input_graph Edge 2 126 2.2556309520
input_graph Edge 2 127 15.2002429492
input_graph Edge 2 128 87.2001033712
input_graph Edge 2 129 23.2002428241
input_graph Edge 2 130 54.2002428240
input_graph Edge 2 131 25.2002428240
input_graph Edge 2 132 91.1926289551
input_graph Edge 2 133 7.2006160263
input_graph Edge 2 134 95.0702444879
input_graph Edge 2 135 86.2001915222
input_graph Edge 2 136 26.2002428240
input_graph Edge 2 137 23.2002428241
input_graph Edge 2 138 30.2002428240
input_graph Edge 2 139 69.2002428240
input_graph Edge 2 140 14.2002431643
input_graph Edge 2 141 24.2002428240
input_graph Edge 2 142 37.2002428240
input_graph Edge 2 143 94.0473141791
input_graph Edge 2 144 53.2002428240
input_graph Edge 2 145 47.2002428240
input_graph Edge 2 146 73.2002428239
input_graph Edge 2 147 28.2002428240
input_graph Edge 2 148 58.2002428240
input_graph Edge 2 149 34.2002428240
input_graph Edge 2 150 75.2002428232
input_graph Edge 2 151 76.5036195196
input_graph Edge 2 152 24.2002428240
input_graph Edge 2 153 76.5036195196
input_graph Edge 2 154 50.2002428240
input_graph Edge 2 155 36.2002428240
input_graph Edge 2 156 49.2002428240
input_graph Edge 2 157 21.2002428243
input_graph Edge 2 158 93.1439835196
input_graph Edge 2 159 80.2002426969
input_graph Edge 2 160 20.2002428249
input_graph Edge 2 161 73.2002428239
input_graph Edge 2 162 18.2002428303
input_graph Edge 2 163 40.2002428240
input_graph Edge 2 164 70.2002428240
input_graph Edge 2 165 53.2002428240
input_graph Edge 2 166 70.2002428240
input_graph Edge 2 167 21.2002428243
input_graph Edge 2 168 58.2002428240
input_graph Edge 2 169 60.2002428240
input_graph Edge 2 170 91.1926289551
input_graph Edge 2 171 60.2002428240
input_graph Edge 2 172 39.2002428240
input_graph Edge 2 173 61.2002428240
input_graph Edge 2 174 76.2002428217
input_graph Edge 2 175 92.1795461826
input_graph Edge 2 176 72.2002428240
input_graph Edge 2 177 28.2002428240
input_graph Edge 2 178 15.2002429492
input_graph Edge 2 179 94.1285888806
input_graph Edge 2 180 81.2002424784
input_graph Edge 2 181 64.2002428240
input_graph Edge 2 182 41.2002428240
input_graph Edge 2 183 41.2002428240
input_graph Edge 2 184 64.2002428240
input_graph Edge 2 185 84.2002358811
input_graph Edge 2 186 37.2002428240
input_graph Edge 2 187 11.2002496595
input_graph Edge 2 188 34.2002428240
input_graph Edge 2 189 77.2002428177
input_graph Edge 2 190 14.2002431643
input_graph Edge 2 191 77.2002428177
input_graph Edge 2 192 40.2002428240
input_graph Edge 2 193 8.2003801175
input_graph Edge 2 194 10.2002614047
input_graph Edge 2 195 74.2002428237
input_graph Edge 2 196 35.2002428240
input_graph Edge 2 197 62.2002428240
input_graph Edge 2 198 44.2002428240
input_graph Edge 2 199 33.2002428240
input_graph Edge 2 200 41.2002428240
input_graph Edge 2 201 91.1926289551
input_graph Edge 2 202 84.2002358811
input_graph Edge 2 203 80.2002426969
input_graph Edge 2 204 21.2002428243
input_graph Edge 2 205 32.2002428240
input_graph Edge 2 206 77.2002428177
input_graph Edge 2 207 59.2002428240
input_graph Edge 2 208 64.2002428240
input_graph Edge 2 209 86.2001915222
input_graph Edge 2 210 82.2002418844
input_graph Edge 2 211 49.6001214120
input_graph Edge 2 212 35.2002428240
input_graph Edge 2 213 94.7845396676
input_graph Edge 2 214 33.2002428240
input_graph Edge 2 215 83.2002402699
input_graph Edge 2 216 21.2002428243
input_graph Edge 2 217 58.2002428240
input_graph Edge 2 218 24.2002428240
input_graph Edge 2 219 73.2002428239
input_graph Edge 2 220 69.2002428240
input_graph Edge 2 221 89.1992123989
input_graph Edge 2 222 1.3508033658
input_graph Edge 2 223 32.2002428240
input_graph Edge 2 224 16.2002428701
input_graph Edge 2 225 59.2002428240
input_graph Edge 2 226 73.2002428239
input_graph Edge 2 227 89.1992123989
input_graph Edge 2 228 56.2002428240
input_graph Edge 2 229 52.2002428240
input_graph Edge 2 230 82.2002418844
input_graph Edge 2 231 33.2002428240
input_graph Edge 2 232 27.2002428240
input_graph Edge 2 233 23.2002428241
input_graph Edge 2 234 22.2002428241
input_graph Edge 2 235 81.2002424784
input_graph Edge 2 236 33.2002428240
input_graph Edge 2 237 12.2002453386
input_graph Edge 2 238 20.2002428249
input_graph Edge 2 239 56.2002428240
input_graph Edge 2 240 82.2002418844
input_graph Edge 2 241 76.5036195196
input_graph Edge 2 242 80.2002426969
input_graph Edge 2 243 10.2002614047
input_graph Edge 2 244 37.2002428240
input_graph Edge 2 245 45.2002428240
input_graph Edge 2 246 89.8506217263
input_graph Edge 2 247 35.2002428240
input_graph Edge 2 248 14.2002431643
input_graph Edge 2 249 82.2002418844
input_graph Edge 2 250 16.2002428701
input_graph Edge 2 251 78.2002428068
input_graph Edge 2 252 62.2002428240
input_graph Edge 2 253 12.2002453386
input_graph Edge 2 254 10.2002614047
input_graph Edge 2 255 25.2002428240
input_graph Edge 2 256 64.2002428240
input_graph Edge 2 257 23.2002428241
input_graph Edge 2 258 50.2002428240
input_graph Edge 2 259 21.2002428243
input_graph Edge 2 260 59.2002428240
input_graph Edge 2 261 12.2002453386
input_graph Edge 2 262 95.0702444879
input_graph Edge 2 263 20.2002428249
input_graph Edge 2 264 66.2002428240
input_graph Edge 2 265 67.2002428240
input_graph Edge 2 266 81.2002424784
input_graph Edge 2 267 40.2002428240
input_graph Edge 2 268 13.2002437491
input_graph Edge 2 269 55.2002428240
input_graph Edge 2 270 71.2002428240
input_graph Edge 2 271 80.2002426969

input_graph Edge 3 18 29.2002428240
input_graph Edge 3 21 88.1998637518
input_graph Edge 3 23 79.2002427773
input_graph Edge 3 25 84.2002358811
input_graph Edge 3 38 59.2002428240
input_graph Edge 3 40 66.2002428240
input_graph Edge 3 42 23.2002428241
input_graph Edge 3 46 6.2012572930
input_graph Edge 3 47 5.2030004365
input_graph Edge 3 57 52.2002428240
input_graph Edge 3 60 76.2002428217
input_graph Edge 3 66 75.2002428232
input_graph Edge 3 92 49.2002428240
input_graph Edge 3 95 23.2002428241
input_graph Edge 3 102 48.2002428240
input_graph Edge 3 112 15.2002429492
input_graph Edge 3 117 29.2002428240
input_graph Edge 3 142 50.1001214120
input_graph Edge 3 143 94.7845396676
input_graph Edge 3 151 82.2002418844
input_graph Edge 3 158 15.2002429492
input_graph Edge 3 167 63.2002428240
input_graph Edge 3 213 2.2556309520
input_graph Edge 3 214 84.2002358811
input_graph Edge 3 272 80.2002426969
input_graph Edge 3 273 53.2002428240
input_graph Edge 3 274 28.2002428240
input_graph Edge 3 275 71.2002428240
input_graph Edge 3 276 46.2002428240
input_graph Edge 3 277 45.2002428240
input_graph Edge 3 278 34.2002428240
input_graph Edge 3 279 51.2002428240
input_graph Edge 3 280 24.2002428240
input_graph Edge 3 281 18.2002428303
input_graph Edge 3 282 76.2002428217
input_graph Edge 3 283 65.2002428240
input_graph Edge 3 284 80.2002426969
input_graph Edge 3 285 55.2002428240
input_graph Edge 3 286 77.2002428177
input_graph Edge 3 287 35.2002428240
input_graph Edge 3 288 22.2002428241
input_graph Edge 3 289 55.2002428240
input_graph Edge 3 290 47.2002428240
input_graph Edge 3 291 62.2002428240
input_graph Edge 3 292 80.2002426969
input_graph Edge 3 293 50.1001214120
input_graph Edge 3 294 52.2002428240
input_graph Edge 3 295 18.2002428303
input_graph Edge 3 296 94.1285888806
input_graph Edge 3 297 25.2002428240
input_graph Edge 3 298 49.2002428240
input_graph Edge 3 299 34.2002428240
input_graph Edge 3 300 10.2002614047
input_graph Edge 3 301 84.2002358811
input_graph Edge 3 302 35.2002428240
input_graph Edge 3 303 23.2002428241
input_graph Edge 3 304 58.2002428240
input_graph Edge 3 305 41.2002428240
input_graph Edge 3 306 4.2077387920
input_graph Edge 3 307 8.2003801175
input_graph Edge 3 308 85.2002239511
input_graph Edge 3 309 89.1992123989
input_graph Edge 3 310 94.0473141791
input_graph Edge 3 311 36.2002428240
input_graph Edge 3 312 67.2002428240
input_graph Edge 3 313 33.2002428240
input_graph Edge 3 314 60.2002428240
input_graph Edge 3 315 41.2002428240
input_graph Edge 3 316 53.2002428240
input_graph Edge 3 317 53.2002428240
input_graph Edge 3 318 23.2002428241
input_graph Edge 3 319 21.2002428243
input_graph Edge 3 320 87.2001033712
input_graph Edge 3 321 55.2002428240
input_graph Edge 3 322 14.2002431643
input_graph Edge 3 323 94.7845396676
input_graph Edge 3 324 63.2002428240
input_graph Edge 3 325 35.2002428240
input_graph Edge 3 326 8.2003801175
input_graph Edge 3 327 84.2002358811
input_graph Edge 3 328 41.2002428240
input_graph Edge 3 329 17.2002428410
input_graph Edge 3 330 33.2002428240
input_graph Edge 3 331 23.2002428241
input_graph Edge 3 332 46.2002428240
input_graph Edge 3 333 7.2006160263
input_graph Edge 3 334 67.2002428240
input_graph Edge 3 335 7.2006160263
input_graph Edge 3 336 37.2002428240
input_graph Edge 3 337 61.2002428240
input_graph Edge 3 338 75.2002428232
input_graph Edge 3 339 45.2002428240
input_graph Edge 3 340 8.2003801175
input_graph Edge 3 341 44.2002428240
input_graph Edge 3 342 28.2002428240
input_graph Edge 3 343 4.2077387920
input_graph Edge 3 344 10.2002614047
input_graph Edge 3 345 9.2002933315
input_graph Edge 3 346 71.2002428240
input_graph Edge 3 347 38.2002428240
input_graph Edge 3 348 20.2002428249
input_graph Edge 3 349 88.1998637518
input_graph Edge 3 350 29.2002428240
input_graph Edge 3 351 49.2002428240
input_graph Edge 3 352 39.2002428240
input_graph Edge 3 353 11.2002496595
input_graph Edge 3 354 53.2002428240
input_graph Edge 3 355 53.2002428240
input_graph Edge 3 356 73.2002428239
input_graph Edge 3 357 65.2002428240
input_graph Edge 3 358 14.2002431643
input_graph Edge 3 359 81.2002424784
input_graph Edge 3 360 81.2002424784
input_graph Edge 3 361 17.2002428410
input_graph Edge 3 362 64.2002428240
input_graph Edge 3 363 77.2002428177
input_graph Edge 3 364 6.2012572930
input_graph Edge 3 365 51.2002428240


input_graph Edge 5 366 56.2002428240

input_graph Edge 6 366 81.2002424784

input_graph Edge 7 366 49.2002428240



input_graph Edge 10 366 33.2002428240





input_graph Edge 15 367 3.2206189776

input_graph Edge 16 366 41.2002428240
input_graph Edge 16 368 66.2002428240
input_graph Edge 16 369 10.2002614047
input_graph Edge 16 370 15.2002429492
input_graph Edge 16 371 10.2002614047
input_graph Edge 16 372 10.2002614047
input_graph Edge 16 373 12.2002453386

input_graph Edge 17 374 73.2002428239
input_graph Edge 17 375 20.2002428249
input_graph Edge 17 376 52.2002428240
input_graph Edge 17 377 66.2002428240
input_graph Edge 17 378 3.2206189776
input_graph Edge 17 379 4.2077387920
input_graph Edge 17 380 89.1992123989
input_graph Edge 17 381 81.2002424784
input_graph Edge 17 382 49.6001214120
input_graph Edge 17 383 93.1439835196
input_graph Edge 17 384 19.2002428263
input_graph Edge 17 385 17.2002428410
input_graph Edge 17 386 14.2002431643

input_graph Edge 18 387 67.2002428240
input_graph Edge 18 388 32.2002428240
input_graph Edge 18 389 25.2002428240
input_graph Edge 18 390 2.2556309520
input_graph Edge 18 391 41.2002428240
input_graph Edge 18 392 2.2556309520
input_graph Edge 18 393 36.2002428240
input_graph Edge 18 394 57.2002428240
input_graph Edge 18 395 27.2002428240
input_graph Edge 18 396 79.2002427773
input_graph Edge 18 397 15.2002429492
input_graph Edge 18 398 78.2002428068
input_graph Edge 18 399 49.2002428240
input_graph Edge 18 400 87.2001033712
input_graph Edge 18 401 57.2002428240
input_graph Edge 18 402 71.2002428240
input_graph Edge 18 403 53.2002428240
input_graph Edge 18 404 20.2002428249
input_graph Edge 18 405 73.2002428239
input_graph Edge 18 406 5.2030004365
input_graph Edge 18 407 34.2002428240
input_graph Edge 18 408 65.2002428240
input_graph Edge 18 409 8.2003801175
input_graph Edge 18 410 22.2002428241
input_graph Edge 18 411 32.2002428240
input_graph Edge 18 412 67.2002428240
input_graph Edge 18 413 29.2002428240
input_graph Edge 18 414 13.2002437491
input_graph Edge 18 415 13.2002437491
input_graph Edge 18 416 76.2002428217
input_graph Edge 18 417 12.2002453386
input_graph Edge 18 418 50.2002428240
input_graph Edge 18 419 75.2002428232
input_graph Edge 18 420 73.2002428239
input_graph Edge 18 421 28.2002428240
input_graph Edge 18 422 74.2002428237
input_graph Edge 18 423 34.2002428240
input_graph Edge 18 424 86.2001915222
input_graph Edge 18 425 9.2002933315
input_graph Edge 18 426 5.2030004365
input_graph Edge 18 427 28.2002428240
input_graph Edge 18 428 90.1974418382
input_graph Edge 18 429 80.2002426969
input_graph Edge 18 430 40.2002428240
input_graph Edge 18 431 45.2002428240
input_graph Edge 18 432 91.1926289551
input_graph Edge 18 433 40.2002428240
input_graph Edge 18 434 57.2002428240
input_graph Edge 18 435 21.2002428243
input_graph Edge 18 436 83.2002402699
input_graph Edge 18 437 2.2556309520
input_graph Edge 18 438 33.2002428240
input_graph Edge 18 439 68.2002428240
input_graph Edge 18 440 73.2002428239
input_graph Edge 18 441 10.2002614047
input_graph Edge 18 442 15.2002429492
input_graph Edge 18 443 53.2002428240
input_graph Edge 18 444 17.2002428410
input_graph Edge 18 445 80.2002426969
input_graph Edge 18 446 21.2002428243
input_graph Edge 18 447 94.1285888806
input_graph Edge 18 448 25.2002428240
input_graph Edge 18 449 42.2002428240
input_graph Edge 18 450 57.2002428240
input_graph Edge 18 451 76.5036195196
input_graph Edge 18 452 93.1439835196
input_graph Edge 18 453 84.2002358811
input_graph Edge 18 454 49.6001214120
input_graph Edge 18 455 70.2002428240
input_graph Edge 18 456 14.2002431643
input_graph Edge 18 457 8.2003801175
input_graph Edge 18 458 34.2002428240
input_graph Edge 18 459 44.2002428240
input_graph Edge 18 460 23.2002428241
input_graph Edge 18 461 94.1285888806
input_graph Edge 18 462 80.2002426969
input_graph Edge 18 463 18.2002428303
input_graph Edge 18 464 22.2002428241
input_graph Edge 18 465 61.2002428240
input_graph Edge 18 466 27.2002428240
input_graph Edge 18 467 2.2556309520
input_graph Edge 18 468 39.2002428240
input_graph Edge 18 469 3.2206189776
input_graph Edge 18 470 19.2002428263
input_graph Edge 18 471 33.2002428240
input_graph Edge 18 472 92.1795461826
input_graph Edge 18 473 22.2002428241
input_graph Edge 18 474 91.1926289551
input_graph Edge 18 475 79.2002427773
input_graph Edge 18 476 68.2002428240
input_graph Edge 18 477 30.2002428240
input_graph Edge 18 478 32.2002428240
input_graph Edge 18 479 0.6095088089
input_graph Edge 18 480 53.2002428240
input_graph Edge 18 481 60.2002428240
input_graph Edge 18 482 50.2002428240
input_graph Edge 18 483 57.2002428240
input_graph Edge 18 484 24.2002428240
input_graph Edge 18 485 83.2002402699
input_graph Edge 18 486 69.2002428240
input_graph Edge 18 487 53.2002428240
input_graph Edge 18 488 55.2002428240
input_graph Edge 18 489 94.7845396676
input_graph Edge 18 490 93.1439835196
input_graph Edge 18 491 66.2002428240
input_graph Edge 18 492 23.2002428241
input_graph Edge 18 493 34.2002428240
input_graph Edge 18 494 88.1998637518
input_graph Edge 18 495 68.2002428240
input_graph Edge 18 496 87.2001033712
input_graph Edge 18 497 76.2002428217
input_graph Edge 18 498 57.2002428240
input_graph Edge 18 499 31.2002428240
input_graph Edge 18 500 76.2002428217
input_graph Edge 18 501 59.2002428240
input_graph Edge 18 502 68.2002428240
input_graph Edge 18 503 22.2002428241
input_graph Edge 18 504 61.2002428240
input_graph Edge 18 505 29.2002428240
input_graph Edge 18 506 72.2002428240
input_graph Edge 18 507 50.2002428240
input_graph Edge 18 508 90.1974418382
input_graph Edge 18 509 3.2206189776
input_graph Edge 18 510 25.2002428240
input_graph Edge 18 511 75.2002428232
input_graph Edge 18 512 50.2002428240
input_graph Edge 18 513 19.2002428263
input_graph Edge 18 514 16.2002428701
input_graph Edge 18 515 65.2002428240
input_graph Edge 18 516 16.2002428701
input_graph Edge 18 517 4.2077387920
input_graph Edge 18 518 13.2002437491
input_graph Edge 18 519 38.2002428240
input_graph Edge 18 520 82.2002418844
input_graph Edge 18 521 69.2002428240
input_graph Edge 18 522 24.2002428240
input_graph Edge 18 523 85.2002239511
input_graph Edge 18 524 74.2002428237
input_graph Edge 18 525 72.2002428240
input_graph Edge 18 526 0.3127431137
input_graph Edge 18 527 33.2002428240
input_graph Edge 18 528 38.2002428240
input_graph Edge 18 529 37.2002428240
input_graph Edge 18 530 94.0473141791
input_graph Edge 18 531 64.2002428240
input_graph Edge 18 532 33.2002428240
input_graph Edge 18 533 73.2002428239
input_graph Edge 18 534 23.2002428241
input_graph Edge 18 535 23.2002428241
input_graph Edge 18 536 50.2002428240
input_graph Edge 18 537 52.2002428240
input_graph Edge 18 538 70.2002428240
input_graph Edge 18 539 28.2002428240
input_graph Edge 18 540 55.2002428240
input_graph Edge 18 541 83.2002402699
input_graph Edge 18 542 73.2002428239
input_graph Edge 18 543 49.2002428240
input_graph Edge 18 544 74.2002428237
input_graph Edge 18 545 80.2002426969
input_graph Edge 18 546 85.2002239511
input_graph Edge 18 547 37.2002428240
input_graph Edge 18 548 21.2002428243
input_graph Edge 18 549 66.2002428240
input_graph Edge 18 550 79.2002427773
input_graph Edge 18 551 65.2002428240
input_graph Edge 18 552 16.2002428701
input_graph Edge 18 553 49.6001214120
input_graph Edge 18 554 48.2002428240
input_graph Edge 18 555 82.2002418844
input_graph Edge 18 556 24.2002428240
input_graph Edge 18 557 7.2006160263
input_graph Edge 18 558 67.2002428240
input_graph Edge 18 559 24.2002428240
input_graph Edge 18 560 0.6095088089
input_graph Edge 18 561 88.1998637518
input_graph Edge 18 562 26.2002428240
input_graph Edge 18 563 0.6095088089
input_graph Edge 18 564 62.2002428240
input_graph Edge 18 565 1.3508033658
input_graph Edge 18 566 68.2002428240
input_graph Edge 18 567 38.2002428240
input_graph Edge 18 568 31.2002428240
input_graph Edge 18 569 7.2006160263
input_graph Edge 18 570 30.2002428240
input_graph Edge 18 571 76.5036195196
input_graph Edge 18 572 48.2002428240
input_graph Edge 18 573 60.2002428240
input_graph Edge 18 574 64.2002428240
input_graph Edge 18 575 37.2002428240
input_graph Edge 18 576 78.2002428068
input_graph Edge 18 577 26.2002428240
input_graph Edge 18 578 77.2002428177
input_graph Edge 18 579 60.2002428240
input_graph Edge 18 580 47.2002428240
input_graph Edge 18 581 6.2012572930
input_graph Edge 18 582 42.2002428240
input_graph Edge 18 583 62.2002428240
input_graph Edge 18 584 58.2002428240
input_graph Edge 18 585 92.1795461826
input_graph Edge 18 586 54.2002428240
input_graph Edge 18 587 77.2002428177
input_graph Edge 18 588 45.2002428240
input_graph Edge 18 589 94.0473141791
input_graph Edge 18 590 30.2002428240
input_graph Edge 18 591 21.2002428243
input_graph Edge 18 592 10.2002614047
input_graph Edge 18 593 69.2002428240
input_graph Edge 18 594 56.2002428240
input_graph Edge 18 595 60.2002428240
input_graph Edge 18 596 62.2002428240
input_graph Edge 18 597 46.2002428240
input_graph Edge 18 598 73.2002428239
input_graph Edge 18 599 71.2002428240
input_graph Edge 18 600 69.2002428240
input_graph Edge 18 601 58.2002428240
input_graph Edge 18 602 23.2002428241
input_graph Edge 18 603 80.2002426969
input_graph Edge 18 604 68.2002428240
input_graph Edge 18 605 13.2002437491
input_graph Edge 18 606 13.2002437491
input_graph Edge 18 607 4.2077387920
input_graph Edge 18 608 72.2002428240
input_graph Edge 18 609 35.2002428240
input_graph Edge 18 610 12.2002453386
input_graph Edge 18 611 39.2002428240
input_graph Edge 18 612 66.2002428240
input_graph Edge 18 613 94.1285888806
input_graph Edge 18 614 91.1926289551
input_graph Edge 18 615 72.2002428240
input_graph Edge 18 616 86.2001915222
input_graph Edge 18 617 46.2002428240
input_graph Edge 18 618 85.2002239511
input_graph Edge 18 619 42.2002428240
input_graph Edge 18 620 58.2002428240
input_graph Edge 18 621 38.2002428240
input_graph Edge 18 622 64.2002428240
input_graph Edge 18 623 63.2002428240
input_graph Edge 18 624 49.2002428240
input_graph Edge 18 625 45.2002428240
input_graph Edge 18 626 21.2002428243
input_graph Edge 18 627 7.2006160263
input_graph Edge 18 628 15.2002429492
input_graph Edge 18 629 4.2077387920
input_graph Edge 18 630 95.0702444879
input_graph Edge 18 631 77.2002428177
input_graph Edge 18 632 40.2002428240
input_graph Edge 18 633 69.2002428240
input_graph Edge 18 634 6.2012572930
input_graph Edge 18 635 55.2002428240
input_graph Edge 18 636 94.0473141791
input_graph Edge 18 637 3.2206189776
input_graph Edge 18 638 56.2002428240
input_graph Edge 18 639 5.2030004365
input_graph Edge 18 640 89.1992123989
input_graph Edge 18 641 8.2003801175
input_graph Edge 18 642 76.2002428217
input_graph Edge 18 643 94.0473141791
input_graph Edge 18 644 26.2002428240
input_graph Edge 18 645 7.2006160263
input_graph Edge 18 646 12.2002453386
input_graph Edge 18 647 23.2002428241
input_graph Edge 18 648 67.2002428240
input_graph Edge 18 649 34.2002428240
input_graph Edge 18 650 46.2002428240
input_graph Edge 18 651 32.2002428240
input_graph Edge 18 652 30.2002428240
input_graph Edge 18 653 92.1795461826
input_graph Edge 18 654 50.2002428240
input_graph Edge 18 655 69.2002428240
input_graph Edge 18 656 21.2002428243
input_graph Edge 18 657 31.2002428240
input_graph Edge 18 658 29.2002428240
input_graph Edge 18 659 13.2002437491
input_graph Edge 18 660 74.2002428237
input_graph Edge 18 661 40.2002428240
input_graph Edge 18 662 60.2002428240
input_graph Edge 18 663 22.2002428241
input_graph Edge 18 664 28.2002428240
input_graph Edge 18 665 6.2012572930
input_graph Edge 18 666 55.2002428240
input_graph Edge 18 667 15.2002429492
input_graph Edge 18 668 3.2206189776
input_graph Edge 18 669 12.2002453386
input_graph Edge 18 670 92.1795461826
input_graph Edge 18 671 58.2002428240
input_graph Edge 18 672 15.2002429492
input_graph Edge 18 673 89.1992123989
input_graph Edge 18 674 50.2002428240
input_graph Edge 18 675 36.2002428240
input_graph Edge 18 676 4.2077387920
input_graph Edge 18 677 68.2002428240
input_graph Edge 18 678 20.2002428249
input_graph Edge 18 679 79.2002427773
input_graph Edge 18 680 63.2002428240
input_graph Edge 18 681 84.2002358811
input_graph Edge 18 682 85.2002239511
input_graph Edge 18 683 24.2002428240
input_graph Edge 18 684 39.2002428240
input_graph Edge 18 685 54.2002428240
input_graph Edge 18 686 46.2002428240
input_graph Edge 18 687 73.2002428239
input_graph Edge 18 688 94.0473141791
input_graph Edge 18 689 46.2002428240
input_graph Edge 18 690 18.2002428303
input_graph Edge 18 691 29.2002428240
input_graph Edge 18 692 29.2002428240
input_graph Edge 18 693 22.2002428241
input_graph Edge 18 694 14.2002431643
input_graph Edge 18 695 88.1998637518
input_graph Edge 18 696 5.2030004365
input_graph Edge 18 697 10.2002614047
input_graph Edge 18 698 66.2002428240
